directly_follows,count
Change Approval for Purchase Order->Clear Invoice,120
Change Approval for Purchase Order->Create Purchase Order Item,382
Change Approval for Purchase Order->Delete Purchase Order Item,53
Change Approval for Purchase Order->Reactivate Purchase Order Item,7
Change Approval for Purchase Order->Receive Order Confirmation,715
Change Approval for Purchase Order->Record Goods Receipt,251
Change Approval for Purchase Order->Record Invoice Receipt,676
Change Approval for Purchase Order->Release Purchase Order,637
Change Approval for Purchase Order->Remove Payment Block,3
Change Approval for Purchase Order->Vendor creates debit memo,5
Change Approval for Purchase Order->Vendor creates invoice,884
Change Currency->$END$,1
Change Currency->Change Price,2
Change Currency->Change Quantity,1
Change Currency->Change payment term,2
Change Currency->Create Purchase Order Item,2
Change Currency->Delete Purchase Order Item,2
Change Currency->Record Goods Receipt,2
Change Currency->Vendor creates debit memo,2
Change Currency->Vendor creates invoice,21
Change Delivery Indicator->$END$,718
Change Delivery Indicator->Block Purchase Order Item,6
Change Delivery Indicator->Cancel Goods Receipt,10
Change Delivery Indicator->Cancel Invoice Receipt,41
Change Delivery Indicator->Cancel Subsequent Invoice,2
Change Delivery Indicator->Change Delivery Indicator,177
Change Delivery Indicator->Change Final Invoice Indicator,5
Change Delivery Indicator->Change Price,14
Change Delivery Indicator->Change Quantity,141
Change Delivery Indicator->Change Storage Location,1
Change Delivery Indicator->Clear Invoice,265
Change Delivery Indicator->Delete Purchase Order Item,17
Change Delivery Indicator->Reactivate Purchase Order Item,1
Change Delivery Indicator->Record Goods Receipt,706
Change Delivery Indicator->Record Invoice Receipt,705
Change Delivery Indicator->Record Subsequent Invoice,2
Change Delivery Indicator->Release Purchase Order,1
Change Delivery Indicator->Remove Payment Block,104
Change Delivery Indicator->SRM: Created,1
Change Delivery Indicator->Vendor creates debit memo,151
Change Delivery Indicator->Vendor creates invoice,221
Change Final Invoice Indicator->$END$,3
Change Final Invoice Indicator->Clear Invoice,4
Change Final Invoice Indicator->Record Goods Receipt,1
Change Final Invoice Indicator->Record Invoice Receipt,1
Change Final Invoice Indicator->SRM: Complete,1
Change Final Invoice Indicator->SRM: In Transfer to Execution Syst.,1
Change Price->$END$,529
Change Price->Block Purchase Order Item,9
Change Price->Cancel Goods Receipt,79
Change Price->Cancel Invoice Receipt,51
Change Price->Cancel Subsequent Invoice,4
Change Price->Change Approval for Purchase Order,73
Change Price->Change Currency,29
Change Price->Change Delivery Indicator,26
Change Price->Change Final Invoice Indicator,1
Change Price->Change Price,671
Change Price->Change Quantity,1106
Change Price->Change Storage Location,30
Change Price->Change payment term,2
Change Price->Clear Invoice,283
Change Price->Delete Purchase Order Item,110
Change Price->Receive Order Confirmation,138
Change Price->Record Goods Receipt,3102
Change Price->Record Invoice Receipt,908
Change Price->Record Service Entry Sheet,24
Change Price->Record Subsequent Invoice,7
Change Price->Release Purchase Order,30
Change Price->Remove Payment Block,1721
Change Price->SRM: Complete,1
Change Price->SRM: Created,4
Change Price->SRM: In Transfer to Execution Syst.,2
Change Price->SRM: Transaction Completed,2
Change Price->Update Order Confirmation,4
Change Price->Vendor creates debit memo,81
Change Price->Vendor creates invoice,3396
Change Quantity->$END$,525
Change Quantity->Block Purchase Order Item,23
Change Quantity->Cancel Goods Receipt,27
Change Quantity->Cancel Invoice Receipt,12
Change Quantity->Cancel Subsequent Invoice,2
Change Quantity->Change Approval for Purchase Order,137
Change Quantity->Change Delivery Indicator,1130
Change Quantity->Change Price,510
Change Quantity->Change Quantity,2290
Change Quantity->Change Storage Location,13
Change Quantity->Clear Invoice,157
Change Quantity->Delete Purchase Order Item,229
Change Quantity->Reactivate Purchase Order Item,77
Change Quantity->Receive Order Confirmation,236
Change Quantity->Record Goods Receipt,9206
Change Quantity->Record Invoice Receipt,659
Change Quantity->Release Purchase Order,33
Change Quantity->Remove Payment Block,92
Change Quantity->Update Order Confirmation,13
Change Quantity->Vendor creates debit memo,84
Change Quantity->Vendor creates invoice,5994
Change Rejection Indicator->Change Rejection Indicator,1
Change Rejection Indicator->Reactivate Purchase Order Item,1
Change Storage Location->$END$,20
Change Storage Location->Block Purchase Order Item,1
Change Storage Location->Cancel Goods Receipt,8
Change Storage Location->Change Delivery Indicator,2
Change Storage Location->Change Price,18
Change Storage Location->Change Quantity,27
Change Storage Location->Change Storage Location,40
Change Storage Location->Clear Invoice,7
Change Storage Location->Delete Purchase Order Item,14
Change Storage Location->Receive Order Confirmation,5
Change Storage Location->Record Goods Receipt,195
Change Storage Location->Record Invoice Receipt,6
Change Storage Location->Release Purchase Order,1
Change Storage Location->Remove Payment Block,1
Change Storage Location->Vendor creates invoice,70
Change payment term->$END$,1
Change payment term->Change Price,1
Change payment term->Change Storage Location,1
Change payment term->Record Goods Receipt,4
Clear Invoice->$END$,181328
Clear Invoice->Block Purchase Order Item,3
Clear Invoice->Cancel Goods Receipt,45
Clear Invoice->Cancel Invoice Receipt,2111
Clear Invoice->Cancel Subsequent Invoice,89
Clear Invoice->Change Approval for Purchase Order,129
Clear Invoice->Change Delivery Indicator,33
Clear Invoice->Change Price,120
Clear Invoice->Change Quantity,110
Clear Invoice->Change Storage Location,2
Clear Invoice->Clear Invoice,3213
Clear Invoice->Delete Purchase Order Item,27
Clear Invoice->Record Goods Receipt,759
Clear Invoice->Record Invoice Receipt,3958
Clear Invoice->Record Service Entry Sheet,114
Clear Invoice->Record Subsequent Invoice,55
Clear Invoice->Remove Payment Block,766
Clear Invoice->SRM: Complete,2
Clear Invoice->SRM: Created,24
Clear Invoice->SRM: In Transfer to Execution Syst.,79
Clear Invoice->SRM: Ordered,2
Clear Invoice->Set Payment Block,3
Clear Invoice->Vendor creates debit memo,122
Clear Invoice->Vendor creates invoice,1299
Create Purchase Order Item->$END$,1612
Create Purchase Order Item->Block Purchase Order Item,252
Create Purchase Order Item->Cancel Goods Receipt,925
Create Purchase Order Item->Change Approval for Purchase Order,3060
Create Purchase Order Item->Change Currency,4
Create Purchase Order Item->Change Delivery Indicator,446
Create Purchase Order Item->Change Final Invoice Indicator,1
Create Purchase Order Item->Change Price,6433
Create Purchase Order Item->Change Quantity,11760
Create Purchase Order Item->Change Storage Location,250
Create Purchase Order Item->Change payment term,3
Create Purchase Order Item->Delete Purchase Order Item,6890
Create Purchase Order Item->Receive Order Confirmation,30837
Create Purchase Order Item->Record Goods Receipt,77206
Create Purchase Order Item->Record Invoice Receipt,1673
Create Purchase Order Item->Record Service Entry Sheet,2072
Create Purchase Order Item->Release Purchase Order,746
Create Purchase Order Item->SRM: Change was Transmitted,440
Create Purchase Order Item->SRM: Complete,1
Create Purchase Order Item->SRM: Created,30
Create Purchase Order Item->SRM: In Transfer to Execution Syst.,42
Create Purchase Order Item->SRM: Ordered,12
Create Purchase Order Item->SRM: Transaction Completed,1
Create Purchase Order Item->Update Order Confirmation,1
Create Purchase Order Item->Vendor creates debit memo,1052
Create Purchase Order Item->Vendor creates invoice,103150
Create Purchase Requisition Item->Create Purchase Order Item,46125
Create Purchase Requisition Item->Release Purchase Requisition,467
Delete Purchase Order Item->$END$,8123
Delete Purchase Order Item->Change Approval for Purchase Order,303
Delete Purchase Order Item->Change Delivery Indicator,6
Delete Purchase Order Item->Change Price,33
Delete Purchase Order Item->Change Quantity,56
Delete Purchase Order Item->Change Rejection Indicator,1
Delete Purchase Order Item->Clear Invoice,9
Delete Purchase Order Item->Delete Purchase Order Item,1
Delete Purchase Order Item->Reactivate Purchase Order Item,272
Delete Purchase Order Item->Release Purchase Order,16
Delete Purchase Order Item->Remove Payment Block,4
Delete Purchase Order Item->SRM: In Transfer to Execution Syst.,1
Delete Purchase Order Item->SRM: Transaction Completed,3
Delete Purchase Order Item->Vendor creates debit memo,1
Delete Purchase Order Item->Vendor creates invoice,46
Reactivate Purchase Order Item->$END$,14
Reactivate Purchase Order Item->Block Purchase Order Item,9
Reactivate Purchase Order Item->Cancel Goods Receipt,2
Reactivate Purchase Order Item->Change Delivery Indicator,3
Reactivate Purchase Order Item->Change Price,15
Reactivate Purchase Order Item->Change Quantity,95
Reactivate Purchase Order Item->Change Storage Location,1
Reactivate Purchase Order Item->Clear Invoice,1
Reactivate Purchase Order Item->Delete Purchase Order Item,33
Reactivate Purchase Order Item->Receive Order Confirmation,6
Reactivate Purchase Order Item->Record Goods Receipt,260
Reactivate Purchase Order Item->Record Invoice Receipt,20
Reactivate Purchase Order Item->Remove Payment Block,1
Reactivate Purchase Order Item->Vendor creates invoice,83
Receive Order Confirmation->$END$,232
Receive Order Confirmation->Cancel Goods Receipt,1
Receive Order Confirmation->Change Approval for Purchase Order,1
Receive Order Confirmation->Change Delivery Indicator,8
Receive Order Confirmation->Change Price,221
Receive Order Confirmation->Change Quantity,472
Receive Order Confirmation->Change Storage Location,4
Receive Order Confirmation->Clear Invoice,3
Receive Order Confirmation->Delete Purchase Order Item,1229
Receive Order Confirmation->Record Goods Receipt,20398
Receive Order Confirmation->Record Invoice Receipt,100
Receive Order Confirmation->Update Order Confirmation,182
Receive Order Confirmation->Vendor creates debit memo,24
Receive Order Confirmation->Vendor creates invoice,9190
Record Goods Receipt->$END$,22776
Record Goods Receipt->Block Purchase Order Item,15
Record Goods Receipt->Cancel Goods Receipt,1063
Record Goods Receipt->Cancel Invoice Receipt,356
Record Goods Receipt->Cancel Subsequent Invoice,5
Record Goods Receipt->Change Approval for Purchase Order,33
Record Goods Receipt->Change Delivery Indicator,733
Record Goods Receipt->Change Price,761
Record Goods Receipt->Change Quantity,1472
Record Goods Receipt->Change Storage Location,7
Record Goods Receipt->Clear Invoice,556
Record Goods Receipt->Delete Purchase Order Item,8
Record Goods Receipt->Receive Order Confirmation,38
Record Goods Receipt->Record Goods Receipt,54277
Record Goods Receipt->Record Invoice Receipt,112182
Record Goods Receipt->Record Service Entry Sheet,23151
Record Goods Receipt->Release Purchase Order,29
Record Goods Receipt->Remove Payment Block,15370
Record Goods Receipt->SRM: Complete,5
Record Goods Receipt->SRM: Created,2
Record Goods Receipt->Update Order Confirmation,6
Record Goods Receipt->Vendor creates debit memo,636
Record Goods Receipt->Vendor creates invoice,80616
Record Invoice Receipt->$END$,23091
Record Invoice Receipt->Block Purchase Order Item,34
Record Invoice Receipt->Cancel Goods Receipt,63
Record Invoice Receipt->Cancel Invoice Receipt,2697
Record Invoice Receipt->Cancel Subsequent Invoice,97
Record Invoice Receipt->Change Approval for Purchase Order,115
Record Invoice Receipt->Change Delivery Indicator,270
Record Invoice Receipt->Change Price,1874
Record Invoice Receipt->Change Quantity,662
Record Invoice Receipt->Change Storage Location,21
Record Invoice Receipt->Clear Invoice,134955
Record Invoice Receipt->Delete Purchase Order Item,3
Record Invoice Receipt->Receive Order Confirmation,11
Record Invoice Receipt->Record Goods Receipt,15580
Record Invoice Receipt->Record Invoice Receipt,6783
Record Invoice Receipt->Record Service Entry Sheet,57
Record Invoice Receipt->Record Subsequent Invoice,39
Record Invoice Receipt->Release Purchase Order,40
Record Invoice Receipt->Remove Payment Block,37621
Record Invoice Receipt->SRM: Complete,1
Record Invoice Receipt->SRM: Created,28
Record Invoice Receipt->SRM: In Transfer to Execution Syst.,9
Record Invoice Receipt->SRM: Ordered,2
Record Invoice Receipt->Set Payment Block,103
Record Invoice Receipt->Update Order Confirmation,6
Record Invoice Receipt->Vendor creates debit memo,544
Record Invoice Receipt->Vendor creates invoice,4054
Record Service Entry Sheet->$END$,921
Record Service Entry Sheet->Cancel Goods Receipt,382
Record Service Entry Sheet->Cancel Invoice Receipt,20
Record Service Entry Sheet->Cancel Subsequent Invoice,1
Record Service Entry Sheet->Change Price,81
Record Service Entry Sheet->Clear Invoice,355
Record Service Entry Sheet->Record Goods Receipt,19183
Record Service Entry Sheet->Record Invoice Receipt,2029
Record Service Entry Sheet->Record Service Entry Sheet,139107
Record Service Entry Sheet->Remove Payment Block,13
Record Service Entry Sheet->SRM: Complete,4
Record Service Entry Sheet->SRM: Created,11
Record Service Entry Sheet->SRM: In Transfer to Execution Syst.,1
Record Service Entry Sheet->SRM: Ordered,1
Record Service Entry Sheet->Vendor creates debit memo,43
Record Service Entry Sheet->Vendor creates invoice,2823
Record Subsequent Invoice->$END$,9
Record Subsequent Invoice->Cancel Invoice Receipt,2
Record Subsequent Invoice->Cancel Subsequent Invoice,6
Record Subsequent Invoice->Change Price,2
Record Subsequent Invoice->Clear Invoice,97
Record Subsequent Invoice->Record Goods Receipt,1
Record Subsequent Invoice->Record Subsequent Invoice,4
Record Subsequent Invoice->Remove Payment Block,43
Record Subsequent Invoice->Vendor creates invoice,3
Release Purchase Order->$END$,1
Release Purchase Order->Change Approval for Purchase Order,1489
Release Purchase Order->Change Price,48
Release Purchase Order->Change Quantity,41
Release Purchase Order->Clear Invoice,3
Release Purchase Order->Create Purchase Order Item,8
Release Purchase Order->Delete Purchase Order Item,9
Release Purchase Order->Remove Payment Block,1
Release Purchase Order->Vendor creates invoice,10
Release Purchase Requisition->Create Purchase Order Item,467
Remove Payment Block->$END$,5397
Remove Payment Block->Cancel Goods Receipt,44
Remove Payment Block->Cancel Invoice Receipt,340
Remove Payment Block->Cancel Subsequent Invoice,47
Remove Payment Block->Change Approval for Purchase Order,4
Remove Payment Block->Change Delivery Indicator,91
Remove Payment Block->Change Price,120
Remove Payment Block->Change Quantity,117
Remove Payment Block->Change Storage Location,1
Remove Payment Block->Clear Invoice,49424
Remove Payment Block->Delete Purchase Order Item,4
Remove Payment Block->Receive Order Confirmation,1
Remove Payment Block->Record Goods Receipt,432
Remove Payment Block->Record Invoice Receipt,442
Remove Payment Block->Record Service Entry Sheet,7
Remove Payment Block->Record Subsequent Invoice,8
Remove Payment Block->Release Purchase Order,31
Remove Payment Block->Remove Payment Block,194
Remove Payment Block->Set Payment Block,14
Remove Payment Block->Update Order Confirmation,1
Remove Payment Block->Vendor creates debit memo,105
Remove Payment Block->Vendor creates invoice,312
SRM: Awaiting Approval->SRM: Document Completed,1626
SRM: Awaiting Approval->SRM: In Transfer to Execution Syst.,1
SRM: Awaiting Approval->SRM: Ordered,1
SRM: Change was Transmitted->$END$,47
SRM: Change was Transmitted->Create Purchase Order Item,821
SRM: Change was Transmitted->Record Goods Receipt,110
SRM: Change was Transmitted->Record Invoice Receipt,8
SRM: Change was Transmitted->Record Service Entry Sheet,7
SRM: Change was Transmitted->SRM: Complete,1
SRM: Change was Transmitted->SRM: Created,13
SRM: Change was Transmitted->SRM: In Transfer to Execution Syst.,95
SRM: Change was Transmitted->SRM: Ordered,37
SRM: Change was Transmitted->Vendor creates debit memo,6
SRM: Change was Transmitted->Vendor creates invoice,295
SRM: Complete->SRM: Awaiting Approval,1628
SRM: Created->Cancel Goods Receipt,2
SRM: Created->Clear Invoice,2
SRM: Created->Create Purchase Order Item,1
SRM: Created->Record Goods Receipt,6
SRM: Created->Record Invoice Receipt,1
SRM: Created->Record Service Entry Sheet,3
SRM: Created->SRM: Complete,1599
SRM: Created->SRM: Created,6
SRM: Created->SRM: In Transfer to Execution Syst.,1
SRM: Created->SRM: Incomplete,6
SRM: Created->SRM: Ordered,1
SRM: Deleted->$END$,9
SRM: Deleted->Change Delivery Indicator,5
SRM: Deleted->Change Final Invoice Indicator,4
SRM: Deleted->Change Price,110
SRM: Deleted->Change Quantity,1
SRM: Deleted->Clear Invoice,3
SRM: Deleted->Delete Purchase Order Item,15
SRM: Deleted->Record Goods Receipt,20
SRM: Deleted->Record Invoice Receipt,4
SRM: Deleted->Record Service Entry Sheet,2
SRM: Deleted->SRM: Complete,4
SRM: Deleted->SRM: Created,1
SRM: Deleted->SRM: In Transfer to Execution Syst.,7
SRM: Deleted->Vendor creates invoice,3
SRM: Document Completed->Cancel Goods Receipt,1
SRM: Document Completed->Clear Invoice,2
SRM: Document Completed->Create Purchase Order Item,25
SRM: Document Completed->Record Invoice Receipt,4
SRM: Document Completed->SRM: Change was Transmitted,5
SRM: Document Completed->SRM: Created,1
SRM: Document Completed->SRM: In Transfer to Execution Syst.,1131
SRM: Document Completed->SRM: Ordered,453
SRM: Document Completed->Vendor creates invoice,6
SRM: Held->SRM: Complete,6
SRM: In Transfer to Execution Syst.->$END$,30
SRM: In Transfer to Execution Syst.->Cancel Goods Receipt,1
SRM: In Transfer to Execution Syst.->Change Delivery Indicator,12
SRM: In Transfer to Execution Syst.->Change Price,8
SRM: In Transfer to Execution Syst.->Create Purchase Order Item,228
SRM: In Transfer to Execution Syst.->Delete Purchase Order Item,1
SRM: In Transfer to Execution Syst.->Record Goods Receipt,19
SRM: In Transfer to Execution Syst.->Record Invoice Receipt,1
SRM: In Transfer to Execution Syst.->Record Service Entry Sheet,1
SRM: In Transfer to Execution Syst.->Remove Payment Block,1
SRM: In Transfer to Execution Syst.->SRM: Change was Transmitted,220
SRM: In Transfer to Execution Syst.->SRM: Complete,1
SRM: In Transfer to Execution Syst.->SRM: Created,5
SRM: In Transfer to Execution Syst.->SRM: Deleted,56
SRM: In Transfer to Execution Syst.->SRM: In Transfer to Execution Syst.,15
SRM: In Transfer to Execution Syst.->SRM: Ordered,1118
SRM: In Transfer to Execution Syst.->SRM: Transaction Completed,2
SRM: In Transfer to Execution Syst.->SRM: Transfer Failed (E.Sys.),45
SRM: In Transfer to Execution Syst.->Vendor creates invoice,1
SRM: Incomplete->SRM: Held,6
SRM: Ordered->Create Purchase Order Item,364
SRM: Ordered->SRM: Change was Transmitted,775
SRM: Ordered->SRM: Deleted,132
SRM: Ordered->SRM: Document Completed,2
SRM: Ordered->SRM: In Transfer to Execution Syst.,354
SRM: Ordered->Vendor creates invoice,1
SRM: Transaction Completed->$END$,6
SRM: Transaction Completed->Change Delivery Indicator,1
SRM: Transaction Completed->SRM: In Transfer to Execution Syst.,1
SRM: Transfer Failed (E.Sys.)->$END$,44
SRM: Transfer Failed (E.Sys.)->Vendor creates invoice,1
Set Payment Block->$END$,61
Set Payment Block->Cancel Invoice Receipt,1
Set Payment Block->Cancel Subsequent Invoice,1
Set Payment Block->Change Approval for Purchase Order,8
Set Payment Block->Change Price,1
Set Payment Block->Clear Invoice,42
Set Payment Block->Remove Payment Block,10
Update Order Confirmation->$END$,3
Update Order Confirmation->Change Price,3
Update Order Confirmation->Change Quantity,16
Update Order Confirmation->Clear Invoice,5
Update Order Confirmation->Delete Purchase Order Item,13
Update Order Confirmation->Receive Order Confirmation,2
Update Order Confirmation->Record Goods Receipt,105
Update Order Confirmation->Record Invoice Receipt,7
Update Order Confirmation->Update Order Confirmation,15
Update Order Confirmation->Vendor creates debit memo,1
Update Order Confirmation->Vendor creates invoice,74
Vendor creates debit memo->$END$,5
Vendor creates debit memo->Cancel Goods Receipt,41
Vendor creates debit memo->Cancel Invoice Receipt,996
Vendor creates debit memo->Cancel Subsequent Invoice,228
Vendor creates debit memo->Change Delivery Indicator,13
Vendor creates debit memo->Change Price,37
Vendor creates debit memo->Change Quantity,51
Vendor creates debit memo->Clear Invoice,190
Vendor creates debit memo->Create Purchase Order Item,126
Vendor creates debit memo->Create Purchase Requisition Item,4
Vendor creates debit memo->Delete Purchase Order Item,1
Vendor creates debit memo->Reactivate Purchase Order Item,5
Vendor creates debit memo->Record Goods Receipt,1144
Vendor creates debit memo->Record Invoice Receipt,1317
Vendor creates debit memo->Record Service Entry Sheet,7
Vendor creates debit memo->Record Subsequent Invoice,4
Vendor creates debit memo->Remove Payment Block,140
Vendor creates debit memo->SRM: Created,7
Vendor creates debit memo->Vendor creates debit memo,13
Vendor creates debit memo->Vendor creates invoice,1926
Vendor creates invoice->$END$,68
Vendor creates invoice->Block Purchase Order Item,54
Vendor creates invoice->Cancel Goods Receipt,98
Vendor creates invoice->Cancel Invoice Receipt,104
Vendor creates invoice->Cancel Subsequent Invoice,4
Vendor creates invoice->Change Approval for Purchase Order,222
Vendor creates invoice->Change Delivery Indicator,232
Vendor creates invoice->Change Price,855
Vendor creates invoice->Change Quantity,2545
Vendor creates invoice->Change Storage Location,31
Vendor creates invoice->Clear Invoice,1443
Vendor creates invoice->Create Purchase Order Item,3318
Vendor creates invoice->Create Purchase Requisition Item,62
Vendor creates invoice->Delete Purchase Order Item,13
Vendor creates invoice->Reactivate Purchase Order Item,63
Vendor creates invoice->Receive Order Confirmation,76
Vendor creates invoice->Record Goods Receipt,110215
Vendor creates invoice->Record Invoice Receipt,95218
Vendor creates invoice->Record Service Entry Sheet,351
Vendor creates invoice->Record Subsequent Invoice,29
Vendor creates invoice->Release Purchase Order,22
Vendor creates invoice->Remove Payment Block,217
Vendor creates invoice->SRM: Created,131
Vendor creates invoice->SRM: In Transfer to Execution Syst.,25
Vendor creates invoice->Set Payment Block,4
Vendor creates invoice->Update Order Confirmation,16
Vendor creates invoice->Vendor creates debit memo,2715
Vendor creates invoice->Vendor creates invoice,1788
